player_id,team_id,start_season,end_season
203078,1610612756,2023,2024
203078,1610612764,2020,2022
1627736,1610612747,2022,2022
1627736,1610612749,2023,2023
1627736,1610612750,2020,2021
1627736,1610612762,2022,2022
1627736,1610612765,2024,2024
1630699,1610612746,2024,2024
1630699,1610612749,2022,2024
1630699,1610612752,2024,2024
1641736,1610612744,2024,2024
1641736,1610612751,2024,2024
1630180,1610612737,2022,2023
1630180,1610612765,2020,2022
1629048,1610612753,2022,2024
1629048,1610612754,2020,2022
202687,1610612756,2021,2022
202687,1610612759,2024,2024
202687,1610612760,2023,2023
202687,1610612763,2023,2023
202687,1610612766,2020,2020
1641710,1610612753,2023,2024
203992,1610612737,2020,2024
203992,1610612746,2024,2024
1629626,1610612743,2020,2021
1629626,1610612753,2022,2022
1629626,1610612756,2023,2024
1641737,1610612755,2024,2024
1626164,1610612756,2020,2024
1630527,1610612740,2024,2024
1630527,1610612746,2021,2023
1628449,1610612761,2020,2024
1631123,1610612748,2022,2022
1631123,1610612749,2024,2024
1631123,1610612757,2023,2023
1631123,1610612759,2023,2023
1631123,1610612764,2022,2022
1628396,1610612741,2021,2022
1628396,1610612754,2024,2024
1628396,1610612755,2020,2020
1628396,1610612760,2020,2020
1628396,1610612762,2019,2019
1631103,1610612759,2022,2024
1631128,1610612743,2022,2024
1641779,1610612756,2024,2024
1628969,1610612751,2022,2023
1628969,1610612752,2024,2024
1628969,1610612756,2020,2022
1628970,1610612766,2019,2024
1629052,1610612738,2023,2023
1629052,1610612754,2020,2022
1629052,1610612755,2024,2024
1627763,1610612738,2022,2022
1627763,1610612754,2020,2021
1627763,1610612757,2023,2023
1627763,1610612764,2024,2024
1628415,1610612745,2023,2024
1628415,1610612763,2020,2022
1631232,1610612740,2024,2024
1628971,1610612740,2024,2024
1628971,1610612743,2022,2022
1628971,1610612751,2020,2021
1628971,1610612754,2023,2023
1628971,1610612761,2023,2024
1627759,1610612738,2020,2024
1641738,1610612746,2023,2024
1629650,1610612739,2021,2021
1629650,1610612742,2021,2024
1629650,1610612746,2022,2022
1629650,1610612751,2022,2022
1629650,1610612754,2024,2024
1629650,1610612757,2023,2023
1629650,1610612760,2020,2020
1628973,1610612742,2020,2021
1628973,1610612752,2022,2024
1628418,1610612743,2022,2022
1628418,1610612747,2022,2022
1628418,1610612748,2023,2024
1628418,1610612754,2024,2024
1628418,1610612764,2020,2021
1641723,1610612737,2023,2024
202692,1610612748,2024,2024
202692,1610612752,2020,2023
202692,1610612765,2022,2023
1630215,1610612755,2024,2024
1630215,1610612760,2022,2022
1630215,1610612762,2021,2021
1630215,1610612764,2023,2024
202710,1610612744,2024,2024
202710,1610612748,2020,2024
1641824,1610612741,2024,2024
1631288,1610612740,2024,2024
1631288,1610612748,2022,2023
203484,1610612743,2022,2023
203484,1610612747,2020,2020
203484,1610612753,2024,2024
203484,1610612764,2021,2021
1641739,1610612757,2023,2024
203991,1610612737,2020,2024
1642382,1610612760,2024,2024
1642267,1610612764,2024,2024
1642269,1610612758,2024,2024
1628975,1610612741,2023,2024
1628975,1610612749,2021,2022
1628975,1610612751,2021,2021
