player_id,player_name,birth_date,position,is_active,weight,height,draft_year
1631217,Moussa Diabaté,2002-01-21T00:00:00,Forward,1,210,6-9,2022
1641711,Gradey Dick,2003-11-20T00:00:00,Guard-Forward,1,200,6-6,2023
1631172,Ousmane Dieng,2003-05-21T00:00:00,Forward,1,185,6-9,2022
1642265,Rob Dillingham,2005-01-04T00:00:00,Guard,1,175,6-3,2024
203915,Spencer Dinwiddie,1993-04-06T00:00:00,Guard,1,215,6-5,2014
1629029,Luka Dončić,1999-02-28T00:00:00,Forward-Guard,1,230,6-6,2018
1629652,Luguentz Dort,1999-04-19T00:00:00,Guard,1,220,6-4,Undrafted
1630245,Ayo Dosunmu,2000-01-17T00:00:00,Guard,1,200,6-5,2021
1630288,Jeff Dowtin Jr.,1997-05-10T00:00:00,Guard,1,177,6-3,Undrafted
1628408,PJ Dozier,1996-10-25T00:00:00,Guard-Forward,0,205,6-6,Undrafted
203083,Andre Drummond,1993-08-10T00:00:00,Center,1,279,6-11,2012
1630537,Chris Duarte,1997-06-13T00:00:00,Guard,0,190,6-5,2021
1642505,Alex Ducas,2000-12-11T00:00:00,Guard,1,220,6-7,Undrafted
1630561,David Duke Jr.,1999-10-13T00:00:00,Guard,1,204,6-4,Undrafted
1627739,Kris Dunn,1994-03-18T00:00:00,Guard,1,205,6-3,2016
1642346,Ryan Dunn,2003-01-07T00:00:00,Forward,1,216,6-8,2024
201142,Kevin Durant,1988-09-29T00:00:00,Forward,1,240,6-11,2007
1631105,Jalen Duren,2003-11-18T00:00:00,Center,1,250,6-10,2022
1631106,Tari Eason,2001-05-10T00:00:00,Forward,1,215,6-8,2022
1641744,Zach Edey,2002-05-14T00:00:00,Center,1,305,7-4,2024
1630162,Anthony Edwards,2001-08-05T00:00:00,Guard,1,225,6-4,2020
1642399,Jesse Edwards,2000-03-18T00:00:00,Center,1,236,7-0,Undrafted
1642348,Justin Edwards,2003-12-16T00:00:00,Forward,1,203,6-7,Undrafted
1630556,Kessler Edwards,2000-08-09T00:00:00,Forward,1,203,6-7,2021
1631165,Keon Ellis,2000-01-08T00:00:00,Guard,1,175,6-4,Undrafted
